"n_tweetid","s_userid","s_tweettext","n_retweetvolume","n_favoritevolume","s_tweeturl","s_tweettime","r_tweetsentimentscore","r_tweetsentimentsmagnitude","n_tweetvalidstrcount"
54,"@animateinfo","ポイント景品【「薄桜鬼 真改 銀星ノ抄」ぷに1.5使用 ハート形缶バッジ3個セット(斎藤一、藤堂平助、原田左之助)】◆「薄桜鬼 真改 銀星ノ抄」の発売に合わせて＜7/30＞より交換開始！◆詳細はコチラ ",127,304,"https://twitter.com/animateinfo/status/1252087368393293824","2020-04-20 04:11:05",0.2,0.6,101
55,"@livedoornews","【21時より】『ワイルド・スピード SKY MISSION』フジテレビにて今夜放送◆◆◆突然の交通事故により、撮影期間中に40歳という若さで亡くなったポール・ウォーカーさんのシリーズ最後の出演作としても知られている。 ",2342,4074,"https://twitter.com/livedoornews/status/1253826679954223105","2020-04-24 23:22:30",0.2,0.5,109
56,"@eigacom","【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ",349,587,"https://twitter.com/eigacom/status/1253632275578642433","2020-04-24 10:30:00",0.3,1.4,120
57,"@fujitv_movie","今夜9時～『ワイルド・スピード SKY MISSION』を放送◆（※一部地域を除く）◆◆あらゆる常識を覆すアクションで全世界を熱狂させ続ける「ワイルド・スピード」シリーズの最高傑作◆世界中の都市を舞台に、想像を超えるアクションとドラマが駆け抜ける◆◆どうそお楽しみに◆◆・スピード ",529,819,"https://twitter.com/fujitv_movie/status/1253821020055584768","2020-04-24 23:00:00",0.4,2.6,141
58,"@Ryohei_h11","スナイデル、コバチッチ、カッサーノ ",7,26,"https://twitter.com/Ryohei_h11/status/1254015089184608257","2020-04-25 11:51:10",0,0,18
59,"@fashionpressnet","スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ",83,706,"https://twitter.com/fashionpressnet/status/1251737318857125889","2020-04-19 05:00:07",0.1,0.1,42
60,"@fashionpressnet","[明日発売] スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ",69,482,"https://twitter.com/fashionpressnet/status/1252396666646216704","2020-04-21 00:40:08",0.2,0.2,49
61,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ",453,2351,"https://twitter.com/fgoproject/status/1252901228641542145","2020-04-22 10:05:05",0.2,1.2,86
62,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ",562,2984,"https://twitter.com/fgoproject/status/1251359437807210498","2020-04-18 03:58:33",0.2,1.2,86
63,"@tobikan_jp","権力者と芸術の関わりをひもといていく 。入口で来場者をお迎えするのは、古代エジプトのファラオ、ラメセス2世の彫像でした。◆◆第1章は「姿を見せる、力を示す」。さまざまな文化における権力者の肖像画や権力の象徴となる動物を表した作品などをご紹介します。 ",91,264,"https://twitter.com/tobikan_jp/status/1253519051004850176","2020-04-24 03:00:05",0.4,1.6,125
